das Anführungszeichen 	 quotation mark 	 Direkte Rede wird in Anführungszeichen gesetzt. 	 	 n.nt
der Schal 	 scarf 	 Mein neuer Schal ist aus Seide. 	 	 n.m
die Schnittstelle 	 interface, port, intersection 	 Die neue Schnittstelle des Betriebssystems ist sehr intuitiv. 	 	 n.f
die Seide 	 silk 	 Mein neuer Schal ist aus Seide. 	 	 n.f
die Spedition 	 shipping company 	 Eine Spedition hat meinen Umzug von Berlin nach Hamburg durchgeführt. 	 	 n.f
das Studium 	 study, studies 	 Im Jahr 2016 hat mein Studium seinen Anfang genommen. 	 	 n.nt

der Tagebau 	 surface mining 	 Tagebau und Mullverbrennung verursachen Luftverschmutzung. 	 	 n.m
der Trost 	 comfort, consolation 	 Das weinende Kind fand Trost in den Armen seiner Mutter. 	 	 n.m

die Überschrift 	 heading, title 	 Der Leser wird durch die Überschrift eingestimmt und gelenkt. 	 	 n.f
das Ungeheuer 	 monster, beast 	 Diese Tagebaumaschine sind riesig! Sie sind wahre Ungeheuer. 	 	 n.nt
die Unstimmigkeit 	 discrepancy 	 Es gab große Unstimmigkeiten bei den Zeugenaussagen. 	 	 n.f

die Verknüpfung 	 link, shortcut 	 Die Verknüpfung zu dieser Datei wurde gelöscht. 	 	 n.f
die Verschlüsselung 	 encryption 	 Verschlüsselung trägt zum Datenschutz bei. 	 	 n.f
die Verwaltung 	 administration 	 Eine effiziente Verwaltung ist sehr wichtig für eine erfolgreiche Firma. 	 	 n.f
der Verweis 	 reference 	 Das Buch ist voll mit Verweisen auf andere Dokumente. 	 	 n.m
das Verzeichnis 	 list, directory, folder 	 Ich legte ein neues Verzeichnis auf dem Desktop an. 	 	 n.nt
die Vorbeugung 	 prevention 	 Hygiene ist wichtig für die Vorbeugung von Krankheiten. 	 	 n.f
der Vorgesetzter 	 superior, supervisor 	 Mein Vorgesetzter war mit meiner Arbeit sehr zufrieden. 	 	 n.m
der Vorsatz 	 intent, purpose<br>new year resolution 	 Fahrlässigkeit oder Vorsatz, das ist hier die Frage.<br>Er warf alle seine guten Vorsätze fürs neue Jahr über Bord. 	 	 n.m
der Vorwurf 	 accusation, allegation 	 Wir wiesen die Vorwürfe als unbegründet zurück. 	 	 n.m

der Wachmann 	 security guard 	 Zum Glück war der Wachmann noch da, um mir die Tür aufzumachen. 	 	 n.m
die Währung 	 currency 	 Viele Länder in Europa haben die gleiche Währung. 	 	 n.f
der Wert 	 value, figure, data, worth 	 Bei dem Feuer wurden Waren im Wert von mehreren Millionen Euro vernichtet. 	 	 n.m
die Wucht 	 impact, force 	 Der Orkan hat dann mit voller Wucht getroffen. 	 	 n.f
die Würde 	 dignity, honor 	 Alle Angestellten behandeln einander mit Würde und Respekt. 	 	 n.f

der Zustand 	 condition, state 	 Der Tisch ist alt, aber in gutem Zustand. 	 	 n.m

abbilden 	 to display, to map, to depict 	 Der Arzt bildete ihr Röntgenbild auf dem Monitor ab. 	 	 v
abgesehen von [dat] 	 apart from, except for 	 Abgesehen von den ersten zehn Minuten hat das Team sehr gut gespielt. 	 	 prep
abgestanden 	 stale, flat 	 Um abgestandene Luft loszuwerden, kann man ein Fenster öffnen. 	 	 adj
ableiten 	 to derive, to deduce 	 Die korrekte Antwort kann aus den Informationen abgeleitet werden. 	 	 v
absolvieren 	 to complete, to do, to finish 	 Sie absolvierte ihr Studium mit Auszeichnung. 	 	 v
abwägen 	 to weigh, to balance, to evaluate 	 Wir sollten alle Optionen abwägen, bevor wir unsere Entscheidung treffen. 	 	 v
ätzend 	 acid, corrosive<br>lousy, awful 	 Sie trug Schutzhandschuhe, wenn sie mit ätzenden Säuren arbeitete.<br>Diesen ganzen Prozess find ich wirklich ätzend. 	 	 adj
auf das Konto gehen 	 account for 	 Auf ihr Konto gehen die meisten von Wildtieren verursachten Todesfälle. 	 	 v expr
auf etw [akk] verweisen 	 refer/point to sth 	 Wir verweisen hierzu auf die Erläuterungen der entsprechenden Aktivposten. 	 	 v
auf dem Teppich bleiben 	 nicht übertreiben 	 Ein bisschen auf dem Teppich bleiben sollte man bei dieser Frage schon und die Dinge gerecht beurteilen. 	 	 v expr
auffallen 	 to stand out, to attract 	 Ihr neuer Haarschnitt fiel ihrem Ehemann sofort auf. 	 	 v
auflösen 	 to dissolve, to disperse, to close 	 Wir müssen Grenzen auflösen, und mehr Raum für Freidenken schaffen! 	 	 v
aufnehmen 	 include<br>receive<br>record<br>absorb 	 Der Verlag hat mehr Details in die zweite Ausgabe aufgenommen.<br>Die guten Neuigkeiten wurden mit Freude aufgenommen.<br>Ich habe die Sendung aufgenommen und mir später angeschaut.<br>Pflanzen nehmen Wasser und Kohlendioxid auf. 	 	 v
ausführen 	 to perform, to carry out, to execute 	 Die Installation wird automatisch ausgeführt. 	 	 v

beschimpfen 	 to abuse, to insult 	 Der wütende Fan beschimpfte den Schiedsrichter. 	 	 v
besonnen 	 calm, prudent 	 Eine besonnene Person trifft keine übereilten Entscheidungen. 	 	 adj
beständig 	 constant, resistant 	 Wein muss bei einer beständigen Temperatur gelagert werden. 	 	 adj
betätigen 	 to press, to operate, to activate 	 Der Wachmann hat den Alarm betätigt. 	 	 v
beteuern 	 to affirm, to reaffirm, to assert 	 Der Politiker beteuerte, er sei den Prinzipien der Demokratie verpflichtet. 	 	 v
bis auf [akk] 	 except for, apart from, up to 	 Das Feld war leer, bis auf eine einzelne Kuh. 	 	 prep
brummen 	 hum, buzz 	 Kannst du dieses Brummen nicht hören? 	 	 v
buchstäblich 	 literal 	 Die buchstäbliche Übersetzung eines Wortes ist nicht immer die beste. 	 	 adj

durchwachsen 	 mittelmäßig, so-so 	 Mein Studium habe ich mit durchwachsenem Erfolg abgeschlossen. 	 	 adj

entfalten 	 to unfold, to display 	 Die Künstlering entfaltete ihr ganzes Potential.<br>Wenn der Schmetterling aus der Puppe kommt, entfalten sich seine Flügel. 	 	 v
entlarven 	 to debunk, to unmask, to expose 	 Der Ermittler entlarvte die Täter. 	 	 v
erörtern 	 to discuss, to debate 	 Ich erörtere gerne philosophische Fragen. 	 	 v

fade 	 bland, insipid 	 Das Essen schmeckte etwas fade, es war gar nicht schmackhaft. 	 	 adj
fahrlässig 	 negligent, reckless, careless 	 Eine mangelhafte Planung kann fahrlässige Entscheidungen zur Folge haben. 	 	 adj
falten 	 to fold, to wrinkle, to crease, dobrar 	 Ich faltete das Blatt Papier wie angegeben. 	 	 v
festhalten 	 to hold, to record<br>to detain 	 Ich habe die Ideen aus dem Meeting in einem Notizbuch festgehalten.<br>Die Polizei hielt einen Verdächtigen fest. 	 	 v

gähnen 	 to yawn 	 Der kleine Junge gähnt viel, er scheint müde zu sein. 	 	 v
gerecht 	 just, fair 	 Ein guter Richter ist unparteiisch und gerecht. 	 	 adj

hartnäckig 	 stubborn, persistent 	 Hartnäckige Menschen geben nicht leift auf. 	 	 adj
hauchen 	 to breathe, to aspirate 	 Ein Hauch von Schnee hatte den Rasen über Nacht weiß gefärbt 	 	 v
hervorheben 	 to highlight, to emphasize 	 Der Lehrer hob die wichtigsten Aspekte des Textes hervor. 	 	 v
hinterlegen 	 to deposit, to lodge 	 Ich habe einen Zweitschlüssel bei meinem Freund hinterlegt. 	 	 v
hüpfen 	 to hop, to leap, to bounce 	 Das Kind hüpfte über die Pfütze. 	 	 v

im Nachhinein 	 in retrospective 	 Im Nachhinein würde ich manche Dinge anders machen. 	 	 adv expr
in die Hose gehen 	 be a complete flop 	 Ja, ohne diese Mühe kann es alle in die Hose gehen. 	 	 v expr

jdm. der Schädel brummen 	 starke Kopfschmerzen haben 	 mir brummt der Schädel. 	 	 v expr
jdm./etw. nicht abkönnen 	 jdn. ertragen, ausstehen 	 Ich kann die nicht ab. 	 	 v expr

karg 	 sparse, frugal 	 Die Wüste ist trocken mit karger Vegetation. 	 	 adj
keine Ahnung von Tuten und Blasen haben 	 völlig inkompetent sein 	 Du hast von Tuten und Blasen keine Ahnung. 	 	 v expr
kippen 	 to tilt, to tip 	 Eine große Welle kippte das Boot nach links. 	 	 v
knacken 	 to crack, to break open 	 Die Polizei versucht, den Code zu knacken. 	 	 v
knüpfen 	 to tie, to knot 	 Die Perser knüpfen in atemberaubender Zeit wunderschöne Teppiche.<br>An diesen Ort knüpfen sich für mich viele schöne Erinnerungen. 	 	 v

leisten 	 to provide, to do, to perform, to achieve 	 Die Freiwilligen leisten tolle Arbeit.<br>Glückwunsch, du hast eine Menge geleistet! 	 	 v
lenken 	 to direct, to control, to steer, to channel 	 Der Fahrer sah den Hund und lenkte zur anderen Seite.<br>Ich versuchte meine Gedanken auf das Thema zu lenken. 	 	 v
loslegen 	 to get started, to kick off 	 Im Jahr 2016 habe ich mit meinem Studium losgelegt. 	 	 v

mahnen 	 to remind, to urge 	 Der Lehrer mahnte seine Schüler, an die Zukunft zu denken. 	 	 v
mit etw./jdm. am Hut haben 	 mit etw./jdm. zu tun haben 	 Ich habe nicht so viel mit ihm am Hut. 	 	 v expr
mitbekommen 	 to catch, to notice, to understand 	 Ich kenne den Mann, aber seinen Namen habe ich nicht mitbekommen. 	 	 v

nachholen 	 to make up for sth, to catch up for sth 	 Ich habe diese ersten Themen verpasst, aber ich kann die später nachholen. 	 	 v
nächtlich 	 nocturnal, nighttime 	 Ich habe Spaß am Tanzen und anderen nächtlichen Aktivitäten. 	 	 adj

platzen 	 to burst, to split, to pop 	 Seifenblasen platzen nach ein paar Sekunden.<br>Beim Aufprall platzen Wasserbomben meistens. 	 	 v

schal 	 stale, flat 	 Nach zwei Stunden in der Sonne was das Bier schal. 	 	 adj
schleppend 	 slow, sluggish 	 Der alte Zug fährt im schleppenden Tempo. 	 	 adj
schmieden 	 to forge, to devise 	 Wir schmiedeten einen Plan und dann setzten wir ihn um. 	 	 v
sich auf etw [Akk] einstellen 	 prepare, adapt to sth 	 Die Landwirte stellten sich auf einen milden Sommer ein. 	 	 v expr
sich [akk] mit jdm. anlegen 	 start a fight with sb. 	 Das ist doch kein Grund dich mit ihm anzulegen. 	 	 v
sich auf etw. [Akk] einigen 	 agree to, agree on 	 Das Komitee einigte sich auf ein erneutes Treffen am nächsten Tag. 	 	 v expr
sich einpendeln 	 even out 	 Es war eine große Anlage, aber sie wird sich mittelfristig einpendeln. 	 	 v
sich herumsprechen 	 get around, spread 	 Das ist ein Angebot, das sich herumsprechen und bei anderen Veranstaltern Schule machen sollte. 	 	 v
sich herausstellen 	 turn out, prove 	 Sein Vorwurf hat sich als falsch herausgestellt. 	 	 v
sich [Akk] anbieten 	 it is useful/appropriate to 	 Es bietet sich an, diese Änderung vorzunehmen. 	 	 v expr
sofern 	 if, provided that, as long as 	 Änderungen sind erlaubt, sofern sie nicht den Vertrag betreffen. 	 	 conj
stur 	 stubborn 	 Das sture Kind weigerte sich, sein Gemüse zu essen. 	 	 adj

täuschen 	 to deceive, to fool, to cheat 	 Ich möchte dich nicht täuschen, also werde ich dir die Wahrheit sagen. 	 	 v
träge 	 slow, sluggish 	 Ich fühle mich zu träge, um aus dem Bett aufzustehen. 	 	 adj
trotzen 	 to defy, to resist 	 Diese Pflanzen trotzen der Kälte und können im Winter angebaut werden. 	 	 v

übertragen 	 to transfer, to transmit 	 Diese Daten werden elektronisch übertragen. 	 	 v
überwältigend 	 overwhelming, stunning 	 Der Umfang der Aufgaben war ziemlich überwältigend.<br>Der Aussichtspunkt bietet einen überwältigenden Ausblick. 	 	 adj
umsetzen 	 to implement, put into practice<br>transform 	 Diese Reformen müssen so rasch wie möglich umgesetzt werden.<br>Pflanzen setzen Sonnenenergie in Zucker um. 	 	 v
umständlich 	 cumbersome, laborious 	 Es ist ein ziemlich umständlicher Prozess, ein Visum zu erhalten. Der Prozess ist lang und kompliziert. 	 	 adj
uneins 	 divided 	 Im Nachhaltigkeitsdebatten sind aber selbst die Experten uneins über die Verlässlichkeit ihrer Statistiken und Prognosen. 	 	 adj
unternehmen 	 to undertake, zusammen machen 	 Mein Freund und ich planen, was wir am Wochenende unternehmen wollen. 	 	 v
unverlässlich 	 essential, indispensable, mandatory 	 Eine kompetente Verwendung der Sprache ist unverlässlich. 	 	 adj

verauslagen 	 to disburse 	 Ich habe dir den verauslagten Betrag gerade überwiesen. 	 	 v
verdichten 	 to compact, to condense, to compress 	 Diese Maschine verdichtet das Material, indem sie Druck ausübt. 	 	 v
verleiten 	 to induce, to tempt, to entice 	 Meine Freundin verleitete mich, das Kleid zu kaufen. 	 	 v
vernichten 	 to destroy, to obliterate 	 Der Sturm droht die Ernte zu vernichten. 	 	 v
verschlingen 	 to devour 	 Dein Kuchen war so gut, dass ich alles verschlungen habe! 	 	 v
verschlucken 	 to swallow, to absorb, to slur 	 Er verschluckt ganze Silben, wenn er schnell spricht. 	 	 v
verschmerzbar 	 bearable 	 Diese Unkompliziertheit macht das Fehlen eines manuellen Modus verschmerzbarer. 	 	 adj
versehentlich 	 inadvertent, accidental 	 Er hat versehentlich die Hupe betätigt.<br>Ein versehentliches Löschen der Datei sollte nicht möglich sein. 	 	 adj
verwelken 	 to wither, to fade 	 Die Blumen verwelken in der Hitze. 	 	 v
vollziehen 	 to carry out, to administer 	 Der Politiker vollzieht Beschlüsse aus der Kaffeerunde bei der Kanzlerin. 	 	 v
von etw ausgehen 	 assume 	 Die Deutsche gehen von einer zweiten Welle an. 	 	 v
vorig 	 previous 	 Bereits im vorigen Herbst hatte der Schriftsteller ein neues Buch veröffentlicht. 	 	 adj
vorübergehend 	 temporary, momentary, passing 	 Wir brauchen eine dauerhafte Lösung, keine vorübergehende. 	 	 adj

wert 	 worth, worth it, worthy, valued 	 Was glaubst du, ist dieser Ring wert?<br>Dieses Buch ist mir werter als alle anderen.<br>Der gute Rat ist mir 100 Euro wert. 	 	 adj
wiegen 	 to weigh, to scale<br>to rock, to sway 	 Der Spiegel wiegt 18kg.<br>Das hohe Gras wiegt sich im Wind. 	 	 v
wortgewandt 	 eloquent, articulate 	 Der wortgewandte Politiker wird oft als Redner eingeladen. 	 	 adj
wortkarg 	 taciturn, silent 	 Der redselige kleine Junge ist heute ungewöhnlich wortkarg. 	 	 adj

zäh 	 tough, tenacious 	 Der Boxer war ein zäher, hartnäckiger Bursche. 	 	 adj
zitieren 	 to quote 	 Der Lehrer zitierte aus dem Tagebuch des Autors. 	 	 v
zurückweisen 	 to reject, to overrule, to refuse 	 Mein Vorschlag wurde zurückgewiesen. 	 	 v
zusammensetzen 	 to compose, to assemble 	 Das Konzert setzte sich aus verschiedenen Auftritten zusammen. 	 	 v
zuschlagen 	 to strike, to slam 	 Vor lauter Wut hat er seine Zimmertür zugeschlagen. 	 	 v
